constructorResultsId,raceId,constructorId,points,status
1802,188,6,0,\N
1806,188,15,0,\N
1812,189,15,0,\N
1815,189,3,0,\N
1822,190,3,2,\N
1830,191,1,16,\N
1831,191,3,6,\N
1832,191,6,3,\N
1842,192,6,4,\N
1852,193,6,14,\N
1853,193,1,7,\N
1855,193,15,2,\N
1864,194,6,10,\N
1866,194,15,1,\N
1875,195,6,4,\N
1885,196,1,10,\N
1887,196,6,4,\N
1896,197,6,14,\N
1902,197,3,0,\N
1906,197,15,0,\N
1908,198,1,5,\N
1909,198,3,3,\N
1918,199,6,14,\N
1929,200,1,16,\N
1932,200,3,1,\N
1933,200,15,0,\N
1940,201,1,16,\N
1945,201,15,0,\N
1952,202,1,7,\N
1955,202,15,0,\N
1964,203,3,3,\N
1967,203,1,0,\N
1977,204,3,0,\N
1984,205,1,14,\N
1989,205,15,0,\N
1995,206,1,14,\N
2007,207,6,6,\N
2018,208,3,10,\N
2023,208,15,0,\N
2032,209,15,3,\N
2033,209,1,2,\N
2041,210,6,10,\N
2045,210,15,0,\N
2051,211,6,14,\N
2065,212,6,3,\N
2073,213,6,10,\N
2076,213,3,3,\N
2077,213,15,2,\N
2097,215,1,3,\N
2101,215,15,0,\N
2105,215,6,0,\N
2115,216,3,0,\N
2119,217,15,4,\N
2128,218,6,10,\N
2131,218,15,3,\N
2143,219,6,1,\N
2145,219,15,0,\N
2151,220,1,6,\N
2153,220,6,1,\N
2169,221,6,0,\N
2173,222,3,6,\N
2184,223,3,5,\N
2188,223,15,0,\N
2195,224,6,4,\N
2200,224,15,0,\N
2208,225,1,3,\N
2214,225,15,0,\N
2219,226,6,2,\N
2228,227,6,6,\N
2229,227,1,4,\N
2238,228,3,10,\N
2239,228,6,9,\N
2254,229,3,0,\N
2263,230,15,3,\N
2264,230,1,2,\N
2273,231,1,5,\N
2284,232,1,3,\N
2292,232,6,0,\N
2295,233,1,6,\N
2298,233,15,0,\N
2310,234,15,0,\N
2314,235,3,16,\N
2316,235,1,3,\N
2326,236,1,4,\N
2336,237,1,4,\N
2341,237,15,0,\N
2344,238,3,16,\N
2345,238,6,6,\N
2359,239,15,1,\N
2366,240,6,6,\N
2374,240,15,0,\N
2377,241,3,10,\N
2391,242,6,10,\N
2392,242,1,2,\N
2405,243,3,3,\N
2408,243,15,0,\N
2420,244,15,1,\N
2429,245,6,10,\N
2437,245,3,0,\N
2442,246,3,10,\N
2455,247,3,4,\N
2457,247,1,2,\N
2458,247,15,1,\N
2467,248,6,4,\N
2486,249,1,0,\N
2490,250,3,6,\N
2493,250,1,2,\N
2502,251,1,9,\N
2516,252,15,1,\N
2526,253,6,6,\N
2530,253,1,0,\N
2539,254,6,5,\N
2542,254,1,0,\N
2550,255,1,6,\N
2554,255,15,0,\N
2564,256,1,3,\N
2575,257,6,4,\N
2584,257,1,0,\N
2602,259,6,6,\N
2604,259,15,3,\N
2606,259,3,1,\N
2616,260,1,6,\N
2627,260,3,0,\N
2644,262,3,8,\N
2645,262,6,7,\N
2653,262,1,0,\N
2656,262,15,0,\N
2667,263,1,0,\N
2676,264,15,0,\N
2685,265,6,10,\N
2692,265,1,0,\N
2710,266,15,0,\N
2714,267,1,6,\N
2723,267,15,0,\N
2729,268,1,6,\N
2742,269,1,5,\N
2753,269,6,0,\N
2756,270,3,6,\N
2757,270,1,4,\N
2771,271,6,4,\N
2784,272,6,7,\N
2785,272,1,4,\N
2788,272,15,0,\N
2802,273,6,1,\N
2819,274,15,0,\N
2823,275,1,10,\N
2835,275,15,0,\N
2839,276,15,3,\N
2852,277,6,1,\N
2859,277,15,0,\N
2863,278,3,9,\N
2864,278,6,4,\N
2885,279,1,0,\N
2888,280,3,16,\N
2890,280,1,4,\N
2904,281,1,2,\N
2917,282,1,3,\N
2918,282,6,1,\N
2919,282,15,0,\N
2929,283,6,4,\N
2946,284,6,0,\N
2953,285,3,10,\N
2967,286,3,10,\N
2969,286,15,2,\N
2980,287,3,9,\N
2983,287,15,0,\N
2989,287,6,0,\N
3019,290,3,16,\N
3021,290,1,3,\N
3029,290,6,0,\N
3036,291,6,5,\N
3075,293,6,0,\N
3081,294,1,10,\N
3082,294,3,10,\N
3089,294,6,0,\N
3128,297,3,16,\N
3134,297,6,0,\N
3144,298,3,10,\N
3147,298,6,2,\N
3161,299,3,6,\N
3193,301,3,2,\N
3203,301,6,0,\N
3205,302,3,10,\N
3206,302,1,10,\N
3244,305,1,10,\N
3245,305,6,6,\N
3262,306,1,14,\N
3299,308,3,6,\N
3300,308,6,6,\N
3318,309,3,5,\N
3325,309,6,0,\N
3344,310,6,0,\N
3371,312,1,9,\N
3372,312,6,4,\N
3390,313,1,3,\N
