constructorResultsId,raceId,constructorId,points,status,driver1,driver2
487,63,red_bull,0,\N,0,0
489,63,williams,0,\N,0,0
493,64,ferrari,18,\N,10,8
494,64,mclaren,6,\N,6,0
498,64,red_bull,1,\N,1,0
500,64,williams,0,\N,0,0
505,65,mclaren,8,\N,8,0
507,65,red_bull,4,\N,4,0
509,65,ferrari,3,\N,2,1
514,65,williams,0,\N,0,0
515,66,ferrari,16,\N,10,6
518,66,mclaren,4,\N,4,0
520,66,williams,0,\N,0,0
521,66,red_bull,0,\N,0,0
526,67,ferrari,10,\N,10,0
527,67,mclaren,8,\N,8,0
532,67,williams,0,\N,0,0
533,67,red_bull,0,\N,0,0
537,68,ferrari,10,\N,10,0
540,68,mclaren,4,\N,4,0
542,68,williams,1,\N,1,0
543,68,red_bull,0,\N,0,0
549,69,ferrari,8,\N,8,0
551,69,mclaren,4,\N,4,0
554,69,williams,0,\N,0,0
555,69,red_bull,0,\N,0,0
559,70,ferrari,15,\N,10,5
562,70,mclaren,5,\N,4,1
566,70,red_bull,0,\N,0,0
569,70,williams,0,\N,0,0
571,71,ferrari,8,\N,8,0
572,71,red_bull,7,\N,5,2
573,71,williams,4,\N,4,0
574,71,mclaren,4,\N,3,1
576,71,sauber,0,\N,0,0
582,72,williams,6,\N,6,0
583,72,mclaren,5,\N,5,0
584,72,red_bull,4,\N,3,1
585,72,ferrari,2,\N,2,0
586,72,sauber,0,\N,0,0
592,73,mclaren,10,\N,6,4
593,73,williams,3,\N,3,0
594,73,sauber,2,\N,2,0
595,73,red_bull,1,\N,1,0
596,73,ferrari,0,\N,0,0
601,74,ferrari,8,\N,8,0
602,74,mclaren,6,\N,6,0
603,74,sauber,5,\N,5,0
605,74,williams,5,\N,3,2
606,74,red_bull,1,\N,1,0
610,75,mclaren,12,\N,10,2
613,75,williams,3,\N,3,0
614,75,red_bull,1,\N,1,0
615,75,ferrari,0,\N,0,0
616,75,sauber,0,\N,0,0
619,76,mclaren,14,\N,10,4
620,76,williams,14,\N,8,6
623,76,ferrari,3,\N,2,1
624,76,sauber,0,\N,0,0
627,76,red_bull,0,\N,0,0
629,77,williams,8,\N,8,0
630,77,ferrari,10,\N,6,4
631,77,red_bull,5,\N,5,0
632,77,mclaren,2,\N,2,0
635,77,sauber,0,\N,0,0
638,78,mclaren,10,\N,10,0
639,78,ferrari,14,\N,8,6
640,78,sauber,5,\N,5,0
641,78,williams,4,\N,4,0
643,78,red_bull,3,\N,2,1
648,79,ferrari,18,\N,10,8
652,79,mclaren,0,\N,0,0
655,79,williams,0,\N,0,0
656,79,sauber,0,\N,0,0
657,79,red_bull,0,\N,0,0
659,80,mclaren,8,\N,8,0
660,80,ferrari,6,\N,6,0
663,80,sauber,1,\N,1,0
664,80,red_bull,0,\N,0,0
665,80,williams,0,\N,0,0
668,81,mclaren,16,\N,10,6
671,81,ferrari,5,\N,3,2
673,81,sauber,0,\N,0,0
674,81,williams,0,\N,0,0
675,81,red_bull,0,\N,0,0
679,82,mclaren,8,\N,8,0
681,82,ferrari,4,\N,4,0
683,82,red_bull,2,\N,2,0
684,82,sauber,1,\N,1,0
685,82,williams,0,\N,0,0
688,83,mclaren,10,\N,10,0
689,83,ferrari,8,\N,8,0
692,83,williams,5,\N,3,2
695,83,sauber,0,\N,0,0
697,83,red_bull,0,\N,0,0
698,84,mclaren,16,\N,10,6
702,84,red_bull,3,\N,2,1
703,84,ferrari,0,\N,0,0
704,84,sauber,0,\N,0,0
707,84,williams,0,\N,0,0
708,85,mclaren,15,\N,10,5
711,85,williams,2,\N,2,0
713,85,sauber,0,\N,0,0
714,85,ferrari,0,\N,0,0
715,85,red_bull,0,\N,0,0
718,86,mclaren,10,\N,10,0
721,86,williams,5,\N,5,0
722,86,ferrari,4,\N,4,0
723,86,sauber,3,\N,3,0
726,86,red_bull,0,\N,0,0
728,87,mclaren,18,\N,10,8
730,87,ferrari,8,\N,5,3
733,87,red_bull,0,\N,0,0
